iter	Passed	Remaining
626	1841	1095
627	1843	1092
628	1847	1089
629	1849	1086
630	1852	1083
631	1855	1080
632	1858	1077
633	1861	1074
634	1864	1071
635	1866	1068
636	1869	1065
637	1871	1061
638	1873	1058
639	1876	1055
640	1880	1053
641	1884	1050
642	1886	1047
643	1889	1044
644	1891	1041
645	1894	1038
646	1897	1035
647	1900	1032
648	1903	1029
649	1905	1026
650	1908	1023
651	1923	1026
652	1927	1024
653	1930	1021
654	1933	1018
655	1936	1015
656	1938	1012
657	1941	1009
658	1945	1006
659	1947	1003
660	1950	1000
661	1953	997
662	1955	994
663	1959	991
664	1961	988
665	1964	985
666	1967	982
667	1971	979
668	1974	977
669	1977	974
670	1980	971
671	1983	968
672	1986	965
673	1988	961
674	1991	959
675	1994	956
676	1997	953
677	2000	950
678	2003	947
679	2006	944
680	2009	941
681	2012	938
682	2015	935
683	2019	932
684	2022	930
685	2025	927
686	2028	924
687	2031	921
688	2034	918
689	2036	915
690	2040	912
691	2043	909
692	2045	906
693	2048	903
694	2050	899
695	2054	897
696	2057	894
697	2061	891
698	2064	889
699	2067	886
700	2071	883
701	2074	880
702	2077	877
703	2079	874
704	2082	871
705	2085	868
706	2088	865
707	2091	862
708	2094	859
709	2096	856
710	2099	853
711	2104	851
712	2107	848
713	2110	845
714	2113	842
715	2115	839
716	2118	836
717	2121	833
718	2124	830
719	2127	827
720	2130	824
721	2133	821
722	2135	818
723	2138	815
724	2141	812
725	2145	809
726	2150	807
727	2153	804
728	2156	801
729	2159	798
730	2162	795
731	2166	793
732	2169	790
733	2172	787
734	2175	784
735	2178	781
736	2181	778
737	2184	775
738	2188	772
739	2191	769
740	2194	767
741	2198	764
742	2201	761
743	2204	758
744	2207	755
745	2210	752
746	2213	749
747	2216	746
748	2219	743
749	2221	740
750	2225	737
751	2227	734
752	2230	731
753	2233	728
754	2237	725
755	2240	723
756	2243	720
757	2246	717
758	2249	714
759	2251	711
760	2254	708
761	2257	705
762	2260	702
763	2263	699
764	2266	696
765	2269	693
766	2271	690
767	2274	686
768	2278	684
769	2281	681
770	2284	678
771	2287	675
772	2289	672
773	2292	669
774	2295	666
775	2297	663
776	2300	660
777	2302	657
778	2304	653
779	2307	650
780	2310	647
781	2312	644
782	2315	641
783	2318	638
784	2321	635
785	2327	633
786	2330	630
787	2333	627
788	2335	624
789	2338	621
790	2341	618
791	2345	615
792	2348	613
793	2351	610
794	2353	606
795	2356	603
796	2360	601
797	2363	598
798	2366	595
799	2371	592
800	2374	590
801	2378	587
802	2381	584
803	2383	581
804	2387	578
805	2390	575
806	2392	572
807	2395	569
808	2398	566
809	2401	563
810	2403	560
811	2407	557
812	2410	554
813	2414	551
814	2418	548
815	2422	546
816	2425	543
817	2428	540
818	2430	537
819	2432	534
820	2436	531
821	2439	528
822	2442	525
823	2444	522
824	2446	519
825	2449	515
826	2453	513
827	2456	510
828	2460	507
829	2463	504
830	2467	501
831	2470	498
832	2474	495
833	2477	493
834	2481	490
835	2485	487
836	2488	484
837	2491	481
838	2494	478
839	2496	475
840	2500	472
841	2503	469
842	2506	466
843	2508	463
844	2511	460
845	2513	457
846	2516	454
847	2519	451
848	2522	448
849	2525	445
850	2528	442
851	2531	439
852	2534	436
853	2536	433
854	2539	430
855	2542	427
856	2546	424
857	2550	422
858	2553	419
859	2556	416
860	2558	413
861	2562	410
862	2566	407
863	2569	404
864	2572	401
865	2575	398
866	2578	395
867	2581	392
868	2584	389
869	2586	386
870	2589	383
871	2592	380
872	2597	377
873	2599	374
874	2602	371
875	2604	368
876	2606	365
877	2609	362
878	2612	359
879	2615	356
880	2617	353
881	2620	350
882	2622	347
883	2625	344
884	2628	341
885	2631	338
886	2636	335
887	2638	332
888	2641	329
889	2644	326
890	2647	323
891	2650	320
892	2652	317
893	2655	314
894	2658	311
895	2662	309
896	2664	305
897	2666	302
898	2669	299
899	2671	296
900	2674	293
901	2678	290
902	2682	288
903	2685	285
904	2688	282
905	2691	279
906	2694	276
907	2696	273
908	2699	270
909	2701	267
910	2705	264
911	2708	261
912	2710	258
913	2713	255
914	2715	252
915	2718	249
916	2722	246
917	2726	243
918	2729	240
919	2731	237
920	2734	234
921	2737	231
922	2740	228
923	2742	225
924	2745	222
925	2747	219
926	2751	216
927	2753	213
928	2756	210
929	2759	207
930	2762	204
931	2765	201
932	2770	198
933	2773	195
934	2776	193
935	2778	189
936	2781	187
937	2783	184
938	2786	181
939	2789	178
940	2792	175
941	2794	172
942	2797	169
943	2801	166
944	2804	163
945	2807	160
946	2811	157
947	2814	154
948	2817	151
949	2820	148
950	2823	145
951	2825	142
952	2828	139
953	2830	136
954	2833	133
955	2836	130
956	2839	127
957	2841	124
958	2843	121
959	2846	118
960	2848	115
961	2851	112
962	2855	109
963	2859	106
964	2863	103
965	2866	100
966	2869	97
967	2872	94
968	2874	91
969	2877	88
970	2880	86
971	2883	83
972	2886	80
973	2888	77
974	2891	74
975	2893	71
976	2895	68
977	2899	65
978	2902	62
979	2905	59
980	2908	56
981	2911	53
982	2913	50
983	2915	47
984	2918	44
985	2920	41
986	2924	38
987	2926	35
988	2929	32
989	2931	29
990	2934	26
991	2937	23
992	2941	20
993	2944	17
994	2947	14
995	2949	11
996	2952	8
997	2955	5
998	2958	2
999	2961	0
