iter	RMSE
832	533.1074928
833	532.7058234
834	532.3073628
835	532.0355768
836	531.6654955
837	531.5266471
838	531.2874525
839	530.9883879
840	530.8074496
841	530.4602927
842	530.2409438
843	530.1249616
844	529.7323241
845	529.3712881
846	529.1550537
847	528.7593108
848	528.7442534
849	528.5105433
850	528.1201759
851	527.9319561
852	527.7045991
853	527.3040399
854	527.1190901
855	526.8142433
856	526.5550258
857	526.1694709
858	526.1039958
859	525.9904501
860	525.4675961
861	525.2294205
862	525.0215812
863	524.8025734
864	524.4707381
865	524.1484162
866	524.0492719
867	523.8891925
868	523.6878237
869	523.4981209
870	523.3435585
871	523.2704932
872	522.915707
873	522.8516858
874	522.6477578
875	522.4443531
876	522.0964728
877	521.9911075
878	521.4569245
879	521.0850054
880	520.8660656
881	520.8072387
882	520.5869923
883	520.3090564
884	520.0635455
885	519.8693793
886	519.595035
887	519.397322
888	519.260033
889	519.0904822
890	518.8333419
891	518.5978755
892	518.4014761
893	518.1005692
894	518.0048227
895	517.771348
896	517.5480148
897	517.4015805
898	516.8837569
899	516.5003349
900	516.2168004
901	515.871646
902	515.5938823
903	515.4486897
904	515.1861879
905	514.9546977
906	514.7381508
907	514.5301585
908	514.3843159
909	514.1072231
910	513.7231725
911	513.4751099
912	513.063692
913	512.7453307
914	512.5461637
915	512.272543
916	511.9288024
917	511.6385633
918	511.5305301
919	511.3493014
920	511.0839635
921	510.8392531
922	510.6320308
923	510.4128283
924	510.1175487
925	509.6275366
926	509.3646982
927	508.9113343
928	508.7223066
929	508.2931882
930	507.7683795
931	507.5409665
932	507.3558442
933	507.1585638
934	506.7913906
935	506.7167445
936	506.5179747
937	506.3598283
938	506.044642
939	505.9111467
940	505.6310207
941	505.4183173
942	505.2199369
943	505.0485272
944	504.6679353
945	504.4699938
946	504.2701288
947	503.7980351
948	503.5205306
949	503.3690043
950	503.2024942
951	502.9453401
952	502.7890306
953	502.6465606
954	502.6120157
955	502.3905517
956	502.205577
957	502.1378157
958	501.9327282
959	501.6740903
960	501.2392856
961	501.0326515
962	500.7868205
963	500.5069582
964	500.2353652
965	500.0572883
966	499.9168367
967	499.6543249
968	499.4113928
969	499.242794
970	499.1432968
971	498.7304943
972	498.2639724
973	497.9646226
974	497.5896011
975	497.284711
976	497.1715939
977	497.0174256
978	496.8945458
979	496.7191858
980	496.5157983
981	496.2924558
982	496.1490533
983	496.0425702
984	495.8918954
985	495.5741791
986	495.1218646
987	494.933215
988	494.3821252
989	494.3025827
990	494.1942183
991	493.9365776
992	493.6646813
993	493.4267027
994	493.2849812
995	493.0935766
996	492.8410796
997	492.8111747
998	492.5826681
999	492.4898004
